confirmedCount,continentEnglishName,continentName,countryEnglishName,countryName,curedCount,currentConfirmedCount,deadCount,locationId,provinceEnglishName,provinceName,provinceShortName,suspectedCount,updateTime
8413,Asia,亚洲,Korea,韩国,1540,6789,84,951004,Korea,韩国,韩国,0,1.58452E+12
13,Asia,亚洲,Uzbekistan,乌兹别克斯坦,0,13,0,954005,Uzbekistan,乌兹别克斯坦,乌兹别克斯坦,0,1.58452E+12
100,Asia,亚洲,China,中国,22,77,1,710000,Taiwan,台湾,台湾,0,1.58452E+12
85,Africa,非洲,South Africa,南非,0,85,0,984011,South Africa,南非,南非,0,1.58452E+12
11312,Europe,欧洲,Germany,德国,135,11151,26,963003,Germany,德国,德国,0,1.58452E+12
3,Africa,非洲,Tanzania,坦桑尼亚,0,3,0,985009,Tanzania,坦桑尼亚,坦桑尼亚,0,1.58452E+12
81186,Asia,亚洲,China,中国,69739,8205,3242,951001,China,中国,中国,0,1.58452E+12
35,Asia,亚洲,Georgia,格鲁吉亚,0,35,0,955006,Georgia,格鲁吉亚,格鲁吉亚,0,1.58451E+12
193,Asia,亚洲,Philippines,菲律宾,1,178,14,952008,Philippines,菲律宾,菲律宾,0,1.58451E+12
78,Asia,亚洲,Armenia,亚美尼亚,0,78,0,955002,Armenia,亚美尼亚,亚美尼亚,0,1.58451E+12
67,Asia,亚洲,Vietnam,越南,16,51,0,952011,Vietnam,越南,越南,0,1.58451E+12
35,Asia,亚洲,Kazakstan,哈萨克斯坦,0,35,0,954001,Kazakstan,哈萨克斯坦,哈萨克斯坦,0,1.58451E+12
3,Asia,亚洲,,吉尔吉斯斯坦,0,3,0,954002,,吉尔吉斯斯坦,吉尔吉斯斯坦,0,1.58451E+12
212,Asia,亚洲,Thailand,泰国,41,170,1,952010,Thailand,泰国,泰国,0,1.58451E+12
361,Asia,亚洲,China,中国,326,32,3,310000,Shanghai,上海市,上海,0,1.58451E+12
482,Asia,亚洲,China,中国,463,6,13,230000,Heilongjiang,黑龙江省,黑龙江,0,1.58451E+12
469,Asia,亚洲,China,中国,378,83,8,110000,Beijing,北京市,北京,0,1.58451E+12
238,Europe,欧洲,Poland,波兰,13,222,3,963006,Poland,波兰,波兰,0,1.58451E+12
44,Africa,非洲,Morocco,摩洛哥,1,41,2,981004,Morocco,摩洛哥,摩洛哥,0,1.58451E+12
3,Africa,非洲,The Republic of Equatorial Guinea,赤道几内亚,0,3,0,0,The Republic of Equatorial Guinea,赤道几内亚,赤道几内亚,0,1.58451E+12
3,Africa,非洲,Gabon,加蓬,0,3,0,983004,Gabon,加蓬,加蓬,0,1.58451E+12
225,Europe,欧洲,Estonia,爱沙尼亚,0,225,0,964002,Estonia,爱沙尼亚,爱沙尼亚,0,1.58451E+12
275,Europe,欧洲,Slovenia,斯洛文尼亚,0,274,1,965014,Slovenia,斯洛文尼亚,斯洛文尼亚,0,1.58451E+12
2,North America,北美洲,Barbados,巴巴多斯,0,2,0,974003,Barbados,巴巴多斯,巴巴多斯,0,1.58451E+12
111,South America,南美洲,Ecuador,厄瓜多尔,0,109,2,973006,Ecuador,厄瓜多尔,厄瓜多尔,0,1.58451E+12
49,Europe,欧洲,Latvia,拉脱维亚,0,49,0,964003,Latvia,拉脱维亚,拉脱维亚,0,1.58451E+12
237,Asia,亚洲,Pakistan,巴基斯坦,1,236,0,953006,Pakistan,巴基斯坦,巴基斯坦,0,1.58451E+12
147,Asia,亚洲,India,印度,3,141,3,953003,India,印度,印度,0,1.58451E+12
1452,Europe,欧洲,Norway,挪威,0,1449,3,962004,Norway,挪威,挪威,0,1.58451E+12
1332,Europe,欧洲,Austria,奥地利,6,1323,3,963001,Austria,奥地利,奥地利,0,1.58451E+12
34,Asia,亚洲,Azerbaijan,阿塞拜疆,6,27,1,955003,Azerbaijan,阿塞拜疆,阿塞拜疆,0,1.58451E+12
93,North America,北美洲,Mexico,墨西哥,1,92,0,971003,Mexico,墨西哥,墨西哥,0,1.58451E+12
79,South America,南美洲,Argentina,阿根廷,1,76,2,973001,Argentina,阿根廷,阿根廷,0,1.58451E+12
72,Europe,欧洲,Republic of Serbia,塞尔维亚,0,72,0,965013,Republic of Serbia,塞尔维亚,塞尔维亚,0,1.58451E+12
595,North America,北美洲,Canada,加拿大,10,577,8,971001,Canada,加拿大,加拿大,0,1.58451E+12
